Número,Símbolo,Nome,Massa,Grupo,Período,Categoria
50,Sn,Estanho,118.71,14,5,Metal-representativo
51,Sb,Antimônio,121.76,15,5,Semi-metal
52,Te,Telúrio,128.6,16,5,Semi-metal
53,I,Iodo,126.90447,17,5,Halogênio
54,Xe,Xenônio,131293,18,5,Gás Nobre
55,Cs,Cásio,132.9054519,1,6,Metal Alcalino
56,Ba,Bário,137327,2,6,Metal Alcalino-terroso
57,La,Lantânio,138.90547,3,6,Lantanídeo
58,Ce,Cério,140116,3,6,Lantanídeo
59,Pr,Praseodímio,140.90765,3,6,Lantanídeo
60,Nd,Neodímio,144242,3,6,Lantanídeo
61,Pm,Promécio,145,3,6,Lantanídeo
62,Sm,Samário,150.36,3,6,Lantanídeo
63,Eu,Európio,151964,3,6,Lantanídeo
64,Gd,Gadolínio,157.25,3,6,Lantanídeo
65,Tb,Térbio,158.92535,3,6,Lantanídeo
66,Dy,Disprósio,162.5,3,6,Lantanídeo
67,Ho,Hólmio,164.93032,3,6,Lantanídeo
68,Er,Érbio,167259,3,6,Lantanídeo
69,Tm,Túlio,168.93421,3,6,Lantanídeo
70,Yb,Itérbio,173.04,3,6,Lantanídeo
71,Lu,Lutécio,174967,3,6,Lantanídeo
72,Hf,Háfnio,178.49,4,6,Metal de Transição
73,Ta,Tântalo,180.94788,5,6,Metal de Transição
74,W,Tungstênio,183.84,6,6,Metal de Transição
75,Re,Rênio,186207,7,6,Metal de Transição
76,Os,Ósmio,190.23,8,6,Metal de Transição
77,Ir,Irídio,192217,9,6,Metal de Transição
78,Pt,Platina,195084,10,6,Metal de Transição
79,Au,Ouro,196.966569,11,6,Metal de Transição
80,Hg,Mercúrio,200.59,12,6,Metal de Transição
81,Tl,Tálio,204.3833,13,6,Metal-representativo
82,Pb,Chumbo,207.2,14,6,Metal-representativo
83,Bi,Bismuto,208.9804,15,6,Metal-representativo
84,Po,Polônio,210,16,6,Semi-metal
85,At,Astato,210,17,6,Halogênio
86,Rn,Radônio,220,18,6,Gás Nobre
87,Fr,Frâncio,223,1,7,Metal Alcalino
88,Ra,Rádio,226,2,7,Metal Alcalino-terroso
89,Ac,Actínio,227,3,7,Actnídeo
90,Th,Tório,232.03806,3,7,Actnídeo
91,Pa,Protactínio,231.03588,3,7,Actnídeo
92,U,Urânio,238.02891,3,7,Actnídeo
93,Np,Neptúnio,237,3,7,Actnídeo
94,Pu,Plutônio,244,3,7,Actnídeo
95,Am,Amerício,243,3,7,Actnídeo
96,Cm,Cúrio,247,3,7,Actnídeo
97,Bk,Berquélio,247,3,7,Actnídeo
98,Cf,Califórnio,251,3,7,Actnídeo
99,Es,Einstênio,252,3,7,Actnídeo
100,Fm,Férmio,257,3,7,Actnídeo
101,Md,Mendelévio,258,3,7,Actnídeo
102,No,Nobélio,259,3,7,Actnídeo
103,Lr,Laurêncio,262,3,7,Actnídeo
104,Rf,Rutherfórdio,267,4,7,Metal de Transição
105,Db,Dúbnio,268,5,7,Metal de Transição
106,Sg,Seabórgio,271,6,7,Metal de Transição
107,Bh,Bóhrio,272,7,7,Metal de Transição
108,Hs,Hássio,270.1,8,7,Metal de Transição
109,Mt,Meitnério,276,9,7,Metal de Transição
110,Ds,Darmstádio,2811,10,7,Metal de Transição
111,Rg,Roentgênio,280,11,7,Metal de Transição
112,Cn,Copernício,285,12,7,Metal de Transição
113,Uut,Ununtrio,284,13,7,Metal-representativo
114,Fl,Fleróvio,289,14,7,Metal-representativo
115,Uup,Ununpentio,288,15,7,Metal-representativo
116,Lv,Livermório,293,16,7,Metal-representativo
117,Uus,Ununséptio,294,15,7,Halogênio
118,Uuo,Ununóctio,294,18,7,Gás Nobre
